rtt_mean,rtt_var,rssi_mean,rssi_var,gmm_mean_1,gmm_mean_2,gmm_var_1,gmm_var_2,gmm_weight_1,gmm_weight_2,label
0.625,0.814375,38.0,0.0,1.1456927056017567,-0.25201572357860086,0.39392636439259515,0.29673754876460584,0.6274668630945437,0.37253313690545625,1
0.87,0.9931,36.98,0.019600000000000013,0.7731984156097147,3.9999999999999982,0.7114551214208109,1e-06,0.970000763338358,0.029999236661641913,1
0.8,0.86,37.005,0.004975,1.1236816403536574,-0.20449268536729742,0.5968831057774723,0.34240267436073074,0.7562958159291641,0.2437041840708359,1
0.8,0.95,37.035,0.03377500000000001,0.06288226410958976,0.9829431996109594,0.49329585719625985,0.8950304870904818,0.1988381340321425,0.8011618659678575,1
0.8,0.88,36.915,0.16777499999999995,0.6608503538442617,1.6663585138662347,0.7319832870828511,0.9304423591523594,0.8616126137129545,0.13838738628704558,1
0.845,0.890975,37.0,0.0,0.7077314266337776,1.7579750122833975,0.6774927636911047,1.3520095459996833,0.8692983463628454,0.13070165363715464,1
0.74,0.7224,38.0,0.0,-0.1982420310315523,1.257259066575001,0.21258983487325797,0.25059214401801194,0.355382120580733,0.644617879419267,1
1.875,0.709375,42.0,0.0,1.5485880822191749,2.9999999999999982,0.44143870058345697,1e-06,0.7751073187548974,0.22489268124510267,2
1.865,0.886775,42.625,0.234375,1.0,2.2905444393346883,1e-06,0.7738488342782879,0.32974024478697334,0.6702597552130266,2
1.83,0.8211000000000002,42.0,0.0,2.286062143778762,0.8512170606551518,0.47388195199093835,0.16188720765567532,0.6821523458226374,0.31784765417736266,2
1.88,0.9256,41.99,0.12989999999999996,2.3031928268636856,1.0,0.8192210533613403,1e-06,0.6752646130794353,0.3247353869205646,2
1.78,0.8116,42.64,0.29040000000000005,0.8299714167320709,2.3079377070204616,0.19088516610484782,0.3762631126544925,0.357205513068533,0.642794486931467,2
1.86,0.9303999999999999,42.0,0.0,1.5498902138137098,2.877240586597933,0.5771766584879849,0.7388338464658407,0.7663693079500842,0.23363069204991582,2
1.79,0.8259000000000001,42.875,0.109375,0.8627841205825822,2.2992427893974554,0.1424057862166336,0.46978201993557395,0.3545126639930389,0.6454873360069612,2
1.865,1.016775,42.53,0.2591,2.2714960401947164,1.0,0.9777387168138649,1e-06,0.6803009782614284,0.3196990217385715,2
1.935,0.750775,41.995,0.004975,1.0,2.3258820400906677,1e-06,0.5463782597728511,0.2948090616446845,0.7051909383553154,2
1.91,0.8919,42.0,0.0,1.6524622911356004,2.6740320034332274,0.6127015521497241,0.9396845001152192,0.7479000152763262,0.25209998472367373,2
1.865,0.8267749999999998,41.99,0.019899999999999994,2.264211486557342,0.878133907223812,0.5576332812371247,0.12423414947912212,0.7119847456523354,0.2880152543476646,2
1.865,1.0067749999999998,42.74,0.2223999999999999,1.0,2.253056187522214,1e-06,0.97217906270592,0.3096877788773016,0.6903122211226983,2
1.885,0.7817750000000001,42.115,0.13177499999999998,1.5813415473646861,3.030423045336528,0.470086211782435,0.2976825186967245,0.7904476366164922,0.20955236338350777,2
1.89,1.0379000000000003,42.465,0.38877500000000004,1.7365828602797475,2.6076476758785083,0.6775219084093358,2.0985481833905713,0.8238740252471384,0.17612597475286157,2
1.865,0.6767749999999999,42.485,0.2897749999999999,2.2717201086072056,1.0,0.4777592020869322,1e-06,0.6801811138673851,0.31981888613261494,2
1.94,0.9163999999999999,42.13,0.24309999999999998,1.6243972213396192,2.9117880270208816,0.5224662728774035,0.8783138083322615,0.7548508368495271,0.24514916315047275,2
1.885,0.8217750000000001,42.68,0.24760000000000004,1.0,2.2821436454869493,1e-06,0.6813522327968162,0.30974972803154066,0.6902502719684593,2
1.985,0.804775,42.395,0.9289750000000002,2.3772663537433787,1.0,0.5850143074905745,1e-06,0.7151848277733569,0.28481517222664304,2
1.93,0.7450999999999999,42.065,0.14077500000000004,1.0,2.337792608325164,1e-06,0.5262754848562685,0.3048249824281031,0.695175017571897,2
1.88,0.9356,42.0,0.0,1.0,2.3129232940144813,1e-06,0.827482097630485,0.3297399749003967,0.6702600250996034,2
1.845,0.790975,42.32,0.2576,0.0,1.9522626651297104,1e-06,0.6275559742642901,0.054942742616339524,0.9450572573836605,2
1.9,0.82,42.13,0.18309999999999998,1.0,2.28525351423171,1e-06,0.6758613243746896,0.29974904558966026,0.7002509544103398,2
1.925,0.719375,42.57,0.9850999999999999,2.3210989490944636,1.0,0.5041373178623478,1e-06,0.7001746543164189,0.2998253456835811,2
1.875,0.719375,42.075,0.17937499999999995,3.0444772282584798,1.5829107162442548,0.2513680681180207,0.4093580060224441,0.19984672702524456,0.8001532729747554,2
1.855,0.9539750000000001,42.47,0.2791,1.5532268996977454,2.8963532042427937,0.556111764145625,0.9282498911140796,0.7753203855206524,0.2246796144793477,2
1.98,0.9096,41.985,0.024774999999999995,2.899494989300835,1.6243176064347136,0.7859998530540389,0.5038547011183516,0.2789277776914841,0.721072222308516,2
1.8,0.83,42.84,0.16440000000000002,1.4994705770884922,2.8423242994918065,0.5307347493002595,0.46825518176329095,0.776200923527509,0.2237990764724909,2
1.995,1.044975,41.985,0.024774999999999995,2.960009454553647,1.6210448942896185,0.9278352994290614,0.5896570801972587,0.27928678383888134,0.7207132161611187,2
1.91,0.7519,42.065,0.200775,1.6456715338852133,2.792414602132399,0.5234428915349434,0.5026658247309623,0.769496347147038,0.230503652852962,2
1.86,0.8704,42.0,0.0,2.3028713251859476,0.8506271355326128,0.5359996674677165,0.166697945798064,0.6950434862530505,0.3049565137469496,2
1.745,0.8799750000000002,42.75,0.1875,1.5091118219086406,2.9046391444968958,0.5454718132285149,0.9061087093822413,0.8309684272939496,0.16903157270605043,2
1.975,0.824375,42.0,0.0,1.5933962174505722,2.9809627062784445,0.4304754473644658,0.4669146286641328,0.7249834255713536,0.27501657442864624,2
1.905,0.8359749999999999,41.985,0.05477499999999999,2.900324510494567,1.5517491076492653,0.447236022879829,0.4975583464045185,0.2619437456781626,0.7380562543218374,2
1.835,0.6877749999999998,42.365,0.37177499999999997,2.321597154117447,0.9008750857448687,0.3060336414453676,0.09347834393563934,0.657500108606858,0.342499891393142,2
1.875,0.889375,42.02,0.0796,2.277926321868534,0.821009586102795,0.5528402220281747,0.2341231621442315,0.7234390188696936,0.2765609811303063,2
