rtt_mean,rtt_var,rssi_mean,rssi_var,gmm_mean_1,gmm_mean_2,gmm_var_1,gmm_var_2,gmm_weight_1,gmm_weight_2,label
1.11,0.7779000000000003,32.0,0.0,0.9560073424150078,3.2643603732168662,0.45911516238705236,0.2646969754310002,0.9332889486442643,0.06671105135573571,1
1.11,0.5179,32.0,0.0,0.7777207351223623,2.1168118966377993,0.20715748723842445,0.1112462846409989,0.7518621028746089,0.24813789712539105,1
1.03,0.5490999999999999,32.0,0.0,0.7008237824823551,2.0827045505782906,0.2417536043609212,0.07728487113157671,0.7617911580235609,0.23820884197643907,1
1.09,0.6618999999999999,32.0,0.0,1.3795089776289438,0.0,0.43832442891045403,1e-06,0.79013621344709,0.2098637865529101,1
1.17,0.7011000000000002,32.0,0.0,0.706732826235937,2.0146089927797597,0.30104755841331376,0.32581743518751394,0.6457866687881557,0.35421333121184434,1
0.94,0.6164,32.0,0.0,0.6412240631411095,1.9999999999999998,0.3841724724080272,1e-06,0.7801139034375479,0.21988609656245203,1
1.14,0.6603999999999998,31.99,0.009899999999999994,0.6819590378720205,2.1204858778634397,0.25581088080701947,0.11601435583790506,0.6815902565080305,0.3184097434919695,1
1.02,0.4795999999999999,32.0,0.0,0.6933845262103129,1.9999999999999998,0.21268178146676947,1e-06,0.7500293848178785,0.2499706151821215,1
0.98,0.49959999999999993,32.0,0.0,1.9999999999999996,0.7251545775136653,1e-06,0.29953676702932003,0.19990299842729897,0.800097001572701,1
1.08,0.5736000000000001,32.0,0.0,0.8103144276634865,1.9110000905871702,0.29546870060305264,0.5159586668651809,0.7549840236674252,0.24501597633257483,1
1.06,0.5963999999999999,32.0,0.0,1.3415712414630283,0.0,0.3770767883401114,1e-06,0.7901183084724105,0.20988169152758943,1
1.07,0.5650999999999999,32.0,0.0,1.0346204025918249,3.767052270218947,0.4734602406197962,0.18153432970347907,0.9870519745332575,0.012948025466742423,1
1.12,0.6456000000000001,32.0,0.0,2.164638568096187,0.7195902868692521,0.16901089092741153,0.24966650699578316,0.2770908891644614,0.7229091108355385,1
1.15,0.5675,32.0,0.0,2.1360420171860826,0.7704049260027858,0.1331822411387671,0.21631090980967113,0.2779618951827834,0.7220381048172166,1
1.09,0.6219,32.0,0.0,1.4154505113877707,0.0,0.3469278457862859,1e-06,0.7700728434025681,0.22992715659743185,1
1.06,0.5364,32.0,0.0,0.0,1.358877958383148,1e-06,0.2815058554619807,0.2199446657731989,0.7800553342268011,1
1.12,0.6255999999999999,32.0,0.0,0.7632576290175831,1.9391377014165367,0.30645940228395796,0.39519359559076883,0.6966167049207536,0.3033832950792464,1
1.02,0.7796,32.0,0.0,0.699327426365643,2.185468229011482,0.45382412434841585,0.23157066687392108,0.7842246353350575,0.21577536466494246,1
1.13,0.6931000000000002,31.96,0.0384,0.7429925315105532,2.0301735344964436,0.30230571565801645,0.4433986640435684,0.6993371813352579,0.300662818664742,1
1.03,0.7890999999999999,31.94,0.05639999999999998,1.9758381583751634,0.6672391722827713,0.731671765821053,0.3364185964958878,0.2772131352481552,0.7227868647518447,1
1.05,0.5674999999999999,32.0,0.0,0.7890828288976399,1.848104236434003,0.31957046337919026,0.480671709829408,0.7536242711945362,0.2463757288054637,1
1.03,0.9490999999999999,32.0,0.0,0.7732145903300761,2.259798356746643,0.4990717975672116,1.2761855147728962,0.8272647559653441,0.17273524403465598,1
1.01,0.7299000000000001,32.0,0.0,0.84289053325075,1.698853571242754,0.47100851709325176,1.207466538810403,0.8047702303346278,0.19522976966537214,1
1.06,0.5364,32.0,0.0,1.358877958383148,0.0,0.2815058554619807,1e-06,0.7800553342268011,0.2199446657731989,1
1.05,0.48749999999999993,32.0,0.0,0.7501292772646286,1.9999999999999998,0.266582391819662,1e-06,0.760078608706749,0.23992139129325094,1
1.05,0.5474999999999999,32.0,0.0,0.7358903196917669,2.126764882213219,0.2345553234311546,0.122630804402541,0.7741639046595272,0.22583609534047278,1
1.13,0.6331,32.0,0.0,1.4302298147005703,0.0,0.3719117710159871,1e-06,0.7900828163315656,0.2099171836684344,1
1.11,0.5179,32.0,0.0,1.9999999999999998,0.746615024758998,1e-06,0.2738971235768689,0.2899228747904287,0.7100771252095712,1
1.01,0.7099,32.0,0.0,1.2487229827045585,-0.13271438407021222,0.4992933563340008,0.13944509353767492,0.8271923226878515,0.17280767731214847,1
1.0,0.62,32.0,0.0,1.9004352630224537,0.6954825644163573,0.41918738684870194,0.3209848792164427,0.2527214851968147,0.7472785148031853,1
1.13,0.6931,32.0,0.0,0.8570915009283088,1.9558313821329616,0.4103537442561667,0.6413309551533688,0.7516168260202997,0.24838317397970036,1
1.0,0.54,32.0,0.0,1.281865185503526,0.0,0.3308950318694403,1e-06,0.7801132375766898,0.21988676242331018,1
1.14,0.6004,32.0,0.0,0.8230292152461967,2.0592692524217417,0.24424925087497923,0.49686426639705206,0.7436009389584308,0.2563990610415692,1
1.11,0.5978999999999999,32.0,0.0,0.0,1.3701808712499013,1e-06,0.3815522218512388,0.18988797516386305,0.8101120248361369,1
1.05,0.5474999999999999,31.99,0.009899999999999997,0.0,1.3460304402599184,1e-06,0.3033937457307052,0.21992848854350944,0.7800715114564906,1
1.0,0.5,32.0,0.0,1.9999999999999996,0.7343333391883801,1e-06,0.2965888949273939,0.2099025509933704,0.7900974490066297,1
1.14,0.5803999999999999,32.0,0.0,2.1761589903541427,0.7795926868669041,0.18025407649761185,0.21625144613986882,0.2580667399987776,0.7419332600012224,1
1.04,0.6584,32.0,0.0,0.6973666575220563,1.9405641365758366,0.3189520726466773,0.43101627953354293,0.7243934706666812,0.27560652933331875,1
1.02,0.5596,32.0,0.0,0.6875320875239783,2.0826158553873384,0.24670951110235562,0.07720962399106367,0.7616860577589452,0.23831394224105487,1
1.15,0.6874999999999999,31.8,0.15999999999999998,0.7229891956771236,1.989647002316493,0.3076148370425937,0.37093966171176807,0.6628838490674933,0.3371161509325067,1
0.64,0.6703999999999999,42.0,0.0,-0.23982677098223343,1.1750577641347622,0.23155619975348993,0.18023507687550308,0.3781635538835815,0.6218364461164184,2
0.74,0.7123999999999999,41.0,0.0,1.1754031769416924,-0.15706806908113244,0.39137744127564117,0.17849352032164437,0.6732363431921786,0.3267636568078214,2
0.67,1.1011000000000002,41.99,0.009900000000000006,0.9645487659837563,-0.9999999999999999,0.7166537566566185,1e-06,0.8500679794343209,0.14993202056567914,2
0.66,0.8844,42.0,0.0,1.2239113908826447,-0.22780064061511682,0.44951132745300804,0.280243884159115,0.6115542348293102,0.3884457651706899,2
